Designator,Mid X,Mid Y,Rotation,Layer
C1,72.87,-85.0,90.0,top
C10,88.92,-87.5,0.0,top
C11,87.95,-74.5,0.0,top
C12,79.42,-90.5,0.0,top
C13,79.32,-92.5,0.0,top
C14,85.92,-89.5,0.0,top
C15,79.42,-94.5,0.0,top
C16,88.87,-77.55,90.0,top
C17,90.87,-77.45,90.0,top
C18,85.92,-91.5,0.0,top
C19,92.87,-77.45,90.0,top
C2,66.37,-85.05,90.0,top
C20,75.45,-74.5,180.0,top
C21,75.45,-72.5,180.0,top
C22,85.92,-93.5,0.0,top
C23,75.45,-70.5,180.0,top
C24,75.92,-98.0,0.0,top
C25,71.82,-98.0,180.0,top
C26,70.5,-88.55,270.0,top
C27,75.5,-94.0,180.0,top
C3,68.0,-88.45,270.0,top
C30,70.42,-63.0,0.0,top
C31,70.42,-61.0,0.0,top
C32,70.42,-65.0,0.0,top
C33,70.42,-67.0,0.0,top
C4,72.87,-88.95,270.0,top
C5,72.87,-81.45,90.0,top
C6,68.37,-80.95,90.0,top
C7,72.87,-77.45,90.0,top
C8,68.37,-76.45,90.0,top
C9,75.92,-89.5,0.0,top
D1,66.0,-92.9375,90.0,top
R1,69.2825,-91.5,0.0,top
R2,71.37,-94.9125,270.0,top
R3,65.87,-89.0875,270.0,top
R4,70.4125,-110.0,0.0,top
R5,73.9125,-92.0,0.0,top
U1,81.37,-82.4995,0.0,top
U2,62.01,-64.0,0.0,top
Y1,74.02,-101.5,0.0,top
