Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C13, C17, C18, C21, C30, C32, C5, C7, C9",0805,12,100n,C28233
"C12, C14, C16, C20",0805,4,10n,C1710
"C15, C19, C22, C23",0805,4,1u,C28323
"C2, C31, C33, C6, C8",0805,5,10u,C15850
"C24, C25",0805,2,22p,C1804
C26,0805,1,4.7n,C1744
C27,0805,1,47p,C14857
C3,0805,1,1n,C46653
C4,0805,1,100p,C1790
D1,0805,1,LED,C84256
"R1, R5",0805,2,2.2k,C17520
"R2, R3",0805,2,100,C17408
R4,0805,1,1k,C17513
U1,ADAU1452WBCPZ-RL,1,ADAU1452,C462188
U2,AMS1117-1.2,1,AMS1117-1.2,C2992568
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,12.288M,C20624119
