Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C15, C2, C27, C28, C29, C48, C5, C52, C53, C54, C55, C56, C57, C58, C59, C6, C8, C9",0603,19,10u,C96446
"C10, C11, C50, C92, C93",0805,5,22u,C45783
"C12, C13, C14, C16, C17, C18, C19, C20, C21, C24, C25, C26, C37, C41, C42, C43, C44, C49, C51",0402,19,100n,C307331
"C22, C23, C38, C39",0402,4,10n,C15195
"C3, C4",0402,2,22p,C1555
C30,0402,1,4.7n,C1538
"C31, C32, C46, C47, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91",0402,36,1u,C52923
"C33, C35, C36, C7",0402,4,2.2u,C12530
C34,0402,1,1n,C1523
C40,0402,1,100p,C1546
C45,0402,1,47p,C1567
D1,SMF20CA,1,~,C42371747
"D2, D3, D4",0805,3,LED,C84256
"R1, R4, R5, R6",0805,4,100, C17408
"R10, R11",0402,2,10k,C25744
"R100, R101, R102, R103, R104, R105, R106, R107, R108, R109, R110, R111, R112, R113, R114, R115, R12, R13, R14, R15, R20, R21, R22, R23, R24, R25, R26, R27, R32, R33, R34, R35, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74, R75, R84, R85, R86, R87, R88, R89, R90, R91, R92, R93, R94, R95, R96, R97, R98, R99",0402,80,100k,C25741
"R16, R17, R18, R19, R28, R29, R30, R31, R36, R37, R38, R39, R40, R41, R42, R43, R76, R77, R78, R79, R80, R81, R82, R83",0603,24,220k, C22961
"R2, R3",0402,2,2.2k, C25879
"R7, R8",0402,2,5.1k, C25905
R9,0402,1,1k,C11702
"U1, U5",AK4619VN,2,~,C3034747
"U10, U11, U12, U13, U7, U8",LM324DT,6,~,C71035
U2,ADAU1452WBCPZ-RL,1,ADAU1452,C462188
U3,K7803M-1000R3,1,~,C22749779
U4,AMS1117-1.2,1,AMS1117-1.2,C2992568
U6,GT-USB-7010ASV,1,~,C2988369
U9,ESP32-S3-WROOM-1U-N8,1,~, C2980297
X1,S47SMD12.288M20PF20R30B3,1,12.288MHz,C5346044
