Designator,Mid X,Mid Y,Rotation,Layer
C1,82.042,-91.814057,270.0,top
C10,44.1046,-62.728567,0.0,top
C11,42.23,-76.901767,180.0,top
C12,79.9312,-92.5754,180.0,top
C13,41.8312,-83.429567,180.0,top
C14,60.945,-92.6592,180.0,top
C15,41.9986,-80.940367,180.0,top
C16,70.711,-90.2386,0.0,top
C17,51.8824,-90.424,0.0,top
C18,70.711,-91.2038,180.0,top
C19,51.8772,-91.4654,180.0,top
C2,62.6748,-91.8594,90.0,top
C20,60.325,-120.297,90.0,top
C21,62.0268,-114.2212,90.0,top
C22,64.3916,-125.0188,180.0,top
C23,74.803,-114.0942,270.0,top
C24,45.2094,-84.623367,0.0,top
C25,64.3916,-127.254,180.0,top
C26,77.0382,-114.0942,270.0,top
C27,54.3052,-122.9484,270.0,top
C28,59.69,-113.9314,90.0,top
C29,42.0246,-96.104167,0.0,top
C3,61.2902,-131.2392,270.0,top
C30,54.5846,-120.3426,270.0,top
C31,64.3916,-129.4892,180.0,top
C32,79.2734,-114.0968,270.0,top
C33,72.136,-87.232257,270.0,top
C34,56.7944,-120.3172,270.0,top
C35,60.945,-91.6178,0.0,top
C36,79.9312,-91.6102,0.0,top
C37,61.9278,-124.587,180.0,top
C38,73.1546,-125.0188,180.0,top
C39,64.0614,-112.649,0.0,top
C4,61.2902,-128.9278,270.0,top
C40,59.0804,-122.6286,270.0,top
C41,61.4654,-116.4844,180.0,top
C42,74.9808,-123.5176,270.0,top
C43,73.1546,-127.254,180.0,top
C44,64.0562,-110.3122,0.0,top
C45,61.2394,-122.6286,270.0,top
C46,73.1546,-129.4638,180.0,top
C47,64.0614,-107.95,0.0,top
C48,56.9976,-113.9314,90.0,top
C49,73.251,-112.4966,0.0,top
C5,70.1932,-87.6478,0.0,top
C50,98.3996,-131.765,90.0,top
C51,101.473,-131.2952,90.0,top
C52,122.161,-52.077,0.0,top
C53,129.4,-52.077,0.0,top
C54,107.81,-52.077,0.0,top
C55,115.049,-52.077,0.0,top
C56,125.743,-52.077,0.0,top
C57,132.956,-52.077,0.0,top
C58,111.493,-52.077,0.0,top
C59,118.605,-52.077,0.0,top
C6,51.3718,-87.8332,0.0,top
C60,51.9684,-51.6916,270.0,top
C61,54.7116,-51.6916,270.0,top
C62,62.9412,-51.6916,270.0,top
C63,65.6844,-51.689,270.0,top
C64,73.914,-51.6916,270.0,top
C65,76.6572,-51.6916,270.0,top
C66,84.8868,-51.6916,270.0,top
C67,87.63,-51.7424,270.0,top
C68,51.5366,-79.4538,270.0,top
C69,54.3306,-79.4538,270.0,top
C7,53.4038,-87.658,270.0,top
C70,62.6872,-79.4538,270.0,top
C71,65.4812,-79.4486,270.0,top
C72,73.8124,-79.4486,270.0,top
C73,76.581,-79.4538,270.0,top
C74,84.8614,-79.4538,270.0,top
C75,87.5792,-79.4538,270.0,top
C76,57.4548,-51.6916,270.0,top
C77,60.198,-51.6916,270.0,top
C78,68.4276,-51.6916,270.0,top
C79,71.1708,-51.6916,270.0,top
C8,68.6054,-90.5812,90.0,top
C80,79.4004,-51.6916,270.0,top
C81,82.1436,-51.6864,270.0,top
C82,90.3732,-51.6916,270.0,top
C83,93.1164,-51.6916,270.0,top
C84,57.1246,-79.4538,270.0,top
C85,59.9186,-79.4538,270.0,top
C86,68.2498,-79.4538,270.0,top
C87,71.0438,-79.4538,270.0,top
C88,79.3242,-79.4538,270.0,top
C89,82.1182,-79.4486,270.0,top
C9,49.7208,-90.7666,90.0,top
C90,90.3732,-79.4994,270.0,top
C91,93.1418,-79.4994,270.0,top
C92,43.5254,-52.6796,0.0,top
C93,43.5254,-55.9944,0.0,top
D1,44.7802,-47.903,270.0,top
D2,87.5125,-137.9728,0.0,top
D3,90.9115,-137.9728,0.0,top
D4,84.0535,-137.9728,0.0,top
R1,55.0926,-133.3398,90.0,top
R10,65.8692,-99.8728,0.0,top
R100,57.6346,-81.3816,180.0,top
R101,60.4286,-81.3816,180.0,top
R102,68.7558,-81.3816,180.0,top
R103,71.5538,-81.3816,180.0,top
R104,79.8556,-81.3816,180.0,top
R105,82.6282,-81.3816,180.0,top
R106,90.8832,-81.3562,180.0,top
R107,93.6518,-81.3562,180.0,top
R108,57.6346,-83.6422,180.0,top
R109,60.4286,-83.6422,180.0,top
R11,62.3092,-99.8982,0.0,top
R110,68.7558,-83.6422,180.0,top
R111,71.5538,-83.6422,180.0,top
R112,79.8556,-83.6422,180.0,top
R113,82.6242,-83.6422,180.0,top
R114,90.8832,-83.6422,180.0,top
R115,93.6518,-83.6422,180.0,top
R12,122.936,-57.032,90.0,top
R13,130.175,-57.032,90.0,top
R14,108.585,-57.032,90.0,top
R15,115.824,-57.032,90.0,top
R16,122.161,-54.871,0.0,top
R17,129.4,-54.871,0.0,top
R18,107.81,-54.871,0.0,top
R19,115.049,-54.871,0.0,top
R2,56.7944,-122.6292,270.0,top
R20,122.172,-49.537,0.0,top
R21,129.415,-49.537,0.0,top
R22,107.821,-49.537,0.0,top
R23,115.06,-49.537,0.0,top
R24,126.492,-57.032,90.0,top
R25,133.731,-57.028,90.0,top
R26,112.268,-57.032,90.0,top
R27,119.38,-57.032,90.0,top
R28,125.743,-54.871,0.0,top
R29,132.956,-54.871,0.0,top
R3,57.9374,-124.4834,270.0,top
R30,111.493,-54.871,0.0,top
R31,118.605,-54.871,0.0,top
R32,125.859,-49.537,0.0,top
R33,132.967,-49.537,0.0,top
R34,111.504,-49.537,0.0,top
R35,118.616,-49.537,0.0,top
R36,51.9684,-54.4446,270.0,top
R37,54.7116,-54.4446,270.0,top
R38,62.9412,-54.4446,270.0,top
R39,65.6844,-54.4446,270.0,top
R4,87.5,-134.6708,0.0,top
R40,73.914,-54.4446,270.0,top
R41,76.6572,-54.4446,270.0,top
R42,84.8868,-54.4446,270.0,top
R43,87.63,-54.4446,270.0,top
R44,52.4784,-56.4896,180.0,top
R45,55.2216,-56.4896,180.0,top
R46,63.4512,-56.4896,180.0,top
R47,66.1944,-56.4896,180.0,top
R48,74.424,-56.4896,180.0,top
R49,77.1672,-56.4896,180.0,top
R5,90.924,-134.6708,0.0,top
R50,85.3968,-56.4896,180.0,top
R51,88.14,-56.4896,180.0,top
